name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,Procent_masy_max,Kategoria_masy
Gunlock,11453,Valid,L3.2,6800.0,Found,1982.0,37.28333,-113.78333,"(37.283330, -113.783330)",0.011333333333333334,g
Kendrapara,12276,Valid,H4-5,6669.2,Fell,2003.0,20.4625,86.70278,"(20.462500, 86.702780)",0.011115333333333333,g
Northwest Africa 7319,55621,Valid,L5-melt breccia,6414.0,Found,2012.0,0.0,0.0,"(0.000000, 0.000000)",0.01069,g
Miller Range 090001,52355,Valid,CR2,6290.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)",0.010483333333333334,g
Hedjaz,11870,Valid,L3.7-6,6100.0,Fell,1910.0,27.33333,35.66667,"(27.333330, 35.666670)",0.010166666666666666,g
Rupota,22783,Valid,L4-6,6000.0,Fell,1949.0,-10.26667,38.76667,"(-10.266670, 38.766670)",0.01,g
Ornans,18030,Valid,CO3.4,6000.0,Fell,1868.0,47.11667,6.15,"(47.116670, 6.150000)",0.01,g
Xi Ujimgin,24345,Valid,L/LL6-an,5900.0,Fell,1980.0,44.66667,117.5,"(44.666670, 117.500000)",0.009833333333333333,f
Felt (b),10084,Valid,L3.5-5,5590.0,Found,1990.0,36.58333,-102.7,"(36.583330, -102.700000)",0.009316666666666666,f
Shişr 162,53579,Valid,Lunar (feldsp. breccia),5525.0,Found,2006.0,18.56667,53.83333,"(18.566670, 53.833330)",0.009208333333333334,f
Yamato 790723,26072,Valid,LL,5483.2,Found,1979.0,-71.5,35.66667,"(-71.500000, 35.666670)",0.009138666666666666,f
Tanezrouft 057,23858,Valid,CK4-an,5400.0,Found,2002.0,25.26667,0.15,"(25.266670, 0.150000)",0.009,f
Northwest Africa 6677,53588,Valid,L4-melt breccia,5200.0,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)",0.008666666666666666,f
Roosevelt,22655,Valid,H3.4,5200.0,Found,1972.0,34.86667,-98.95,"(34.866670, -98.950000)",0.008666666666666666,f
Watonga,55758,Valid,LL3.1,5025.0,Found,1960.0,35.833333,-98.4,"(35.833333, -98.400000)",0.008375,f
Itqiy,12058,Valid,EH7-an,4720.0,Fell,1990.0,26.59083,-12.95217,"(26.590830, -12.952170)",0.007866666666666666,f
Ningqiang,16981,Valid,C3-ung,4610.0,Fell,1983.0,32.925,105.90667,"(32.925000, 105.906670)",0.007683333333333334,f
Coolidge,5434,Valid,C4-ung,4500.0,Found,1937.0,38.03333,-101.98333,"(38.033330, -101.983330)",0.0075,f
Waverly,24224,Valid,"Iron, IAB-an",4400.0,Found,1983.0,32.68333,-85.56667,"(32.683330, -85.566670)",0.007333333333333333,f
Grady (1933),10951,Valid,L3-6,4230.0,Found,1933.0,34.8,-103.31667,"(34.800000, -103.316670)",0.00705,f
Wells,24242,Valid,LL3.3,4135.0,Found,1985.0,33.05,-101.93333,"(33.050000, -101.933330)",0.006891666666666667,f
Chinguetti,5354,Valid,Mesosiderite-B1,4050.0,Found,1920.0,20.25,-12.68333,"(20.250000, -12.683330)",0.00675,f
Willaroy,24272,Valid,H3.8-an,4030.0,Found,1970.0,-30.1,143.2,"(-30.100000, 143.200000)",0.006716666666666667,f
Chassigny,5331,Valid,Martian (chassignite),4000.0,Fell,1815.0,47.71667,5.36667,"(47.716670, 5.366670)",0.006666666666666667,f
